Order Type,Order Number,Datetime
short,3000,17.02.2023 20:01:06
short,3000,17.02.2023 20:05:39
short,3000,17.02.2023 20:09:13
short,3000,17.02.2023 20:14:20
long,3000,17.02.2023 20:18:47
short,3000,17.02.2023 20:21:36
long,3000,17.02.2023 20:39:33
long,3000,17.02.2023 21:31:36
long,3000,17.02.2023 21:48:57
long,3000,17.02.2023 21:59:14
long,3000,17.02.2023 22:03:35
long,3000,17.02.2023 22:08:00
long,3000,17.02.2023 22:11:20
short,3000,17.02.2023 22:16:32
long,3000,17.02.2023 22:18:48
short,3000,17.02.2023 22:31:08
short,3000,17.02.2023 22:40:16
long,3000,17.02.2023 22:45:53
long,3000,17.02.2023 23:18:47
short,3000,18.02.2023 00:27:31
short,3000,18.02.2023 14:54:58
short,3000,18.02.2023 18:11:51
long,3000,18.02.2023 18:18:48
long,3000,18.02.2023 18:36:27
long,3000,18.02.2023 19:44:20
short,3000,19.02.2023 00:23:50
short,3000,19.02.2023 01:08:31
short,3000,19.02.2023 05:21:09
long,3000,19.02.2023 06:22:36
long,3000,19.02.2023 06:58:15
long,3000,19.02.2023 07:21:06
long,3000,19.02.2023 07:55:29
short,3000,19.02.2023 14:51:25
short,3000,19.02.2023 15:18:47
long,3000,19.02.2023 15:25:40
short,3000,19.02.2023 16:13:47
long,3000,19.02.2023 16:18:47
long,3000,19.02.2023 16:33:52
long,3000,19.02.2023 16:46:24
long,3000,19.02.2023 16:50:27
long,3000,19.02.2023 17:04:32
long,3000,19.02.2023 17:07:44
long,3000,19.02.2023 17:18:47
long,3000,19.02.2023 17:53:37
long,3000,19.02.2023 17:57:22
long,3000,19.02.2023 18:14:52
long,3000,19.02.2023 18:18:47
short,3000,19.02.2023 18:36:05
short,3000,19.02.2023 19:07:51
long,3000,19.02.2023 20:04:30
long,3000,19.02.2023 20:19:09
long,3000,19.02.2023 23:09:40
long,3000,19.02.2023 23:42:57
long,3000,19.02.2023 23:52:07
long,3000,19.02.2023 23:58:17
long,3000,20.02.2023 00:18:47
long,3000,20.02.2023 00:54:24
long,3000,20.02.2023 01:04:22
long,3000,20.02.2023 01:09:06
long,3000,20.02.2023 01:12:31
long,3000,20.02.2023 01:18:48
short,3000,20.02.2023 01:50:05
short,3000,20.02.2023 02:13:02
short,3000,20.02.2023 02:56:52
short,3000,20.02.2023 04:16:10
long,3000,20.02.2023 08:40:24
long,3000,20.02.2023 09:19:18
short,3000,20.02.2023 09:42:35
short,3000,20.02.2023 09:54:57
short,3000,20.02.2023 10:07:05
long,3000,20.02.2023 10:18:47
long,3000,20.02.2023 10:28:15
short,3000,20.02.2023 10:46:13
long,3000,20.02.2023 12:41:50
short,3000,20.02.2023 13:25:18
short,3000,20.02.2023 14:21:17
short,3000,20.02.2023 14:25:03
short,3000,20.02.2023 14:40:40
long,3000,20.02.2023 14:44:36
long,3000,20.02.2023 15:18:48
long,3000,20.02.2023 15:28:51
long,3000,20.02.2023 16:19:59
long,3000,20.02.2023 16:39:20
short,3000,20.02.2023 16:52:47
long,3000,20.02.2023 17:18:48
long,3000,20.02.2023 18:13:24
long,3000,20.02.2023 22:20:46
short,3000,21.02.2023 00:35:31
short,3000,21.02.2023 00:39:55
short,3000,21.02.2023 02:27:48
short,3000,21.02.2023 02:33:09
short,3000,21.02.2023 02:36:36
short,3000,21.02.2023 02:41:18
long,3000,21.02.2023 02:56:35
long,3000,21.02.2023 03:01:43
